! MOLECULE
o-NH3 rotation-inversion spectrum up to 400 cm-1 above ground                   
! MASS
17.
! NUMBER OF ENERGY LEVELS
17
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.  J,K,v
  1     0.00000    4.0  0_0_a
  2    19.10616   12.0  1_0_s
  3    59.64827   20.0  2_0_a
  4    85.39368   28.0  3_3_s
  5    86.18992   28.0  3_3_a
  6   118.50053   28.0  3_0_s
  7   164.86215   36.0  4_3_s
  8   165.61890   36.0  4_3_a
  9   198.59131   36.0  4_0_a
 10   264.04611   44.0  5_3_s
 11   264.75635   44.0  5_3_a
 12   281.88376   52.0  6_6_s
 13   282.71954   52.0  6_6_a
 14   296.97971   44.0  5_0_s
 15   382.84638   52.0  6_3_s
 16   383.50473   52.0  6_3_a
 17   416.27033   52.0  6_0_a
! NUMBER OF RADIATIVE TRANSITIONS
17
! TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz)+ E_up(K)
   1    2   1   1.580E-03    572.4981     27.5
   2    3   2   1.813E-02   1214.8586     85.8
   3    5   4   2.568E-07     23.87013   124.0
   4    6   3   5.950E-02   1763.5254    170.5
   5    7   5   6.434E-02   2358.5632    237.2
   6    8   4   6.823E-02   2405.1213    238.3
   7    8   7   1.325E-07     22.68831   238.3
   8    9   6   1.558E-01   2400.0176    285.7
   9   10   8   1.890E-01   2950.8145    379.9
  10   11   7   1.976E-01   2994.7864    380.9
  11   11  10   7.322E-08     21.28528   380.9
  12   13  12   3.376E-07     25.05603   406.8
  13   14   9   2.962E-01   2948.4106    427.3
  14   15  11   3.895E-01   3540.3104    550.8
  15   16  10   4.032E-01   3581.3469    551.8
  16   16  15   4.178E-08     19.75754   551.8
  17   17  14   5.376E-01   3574.8879    598.9
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
1 o-NH3 on p-H2: Danby et al 1988, MNRAS 235, 229                                 
! NUMBER OF COLLISIONAL TRANSITIONS
136
! NUMBER OF COLLISION TEMPERATURES
8
! COLLISION TEMPERATURES
 15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2   1   4.3E-11 4.5E-11 4.7E-11 4.8E-11 5.0E-11 5.3E-11 5.7E-11 6.2E-11
    2    3   1   2.1E-11 1.7E-11 1.3E-11 1.1E-11 1.0E-11 9.0E-12 8.5E-12 8.1E-12
    3    3   2   6.8E-11 6.4E-11 6.0E-11 6.0E-11 6.2E-11 6.7E-11 7.1E-11 7.9E-11
    4    6   1   4.4E-12 4.2E-12 4.0E-12 3.9E-12 3.9E-12 3.9E-12 4.0E-12 4.1E-12
    5    6   2   7.4E-12 7.5E-12 7.3E-12 7.2E-12 7.1E-12 7.3E-12 7.6E-12 8.3E-12
    6    6   3   5.7E-11 5.7E-11 5.7E-11 5.8E-11 6.1E-11 6.6E-11 7.1E-11 8.0E-11
    7    6   5   2.0E-11 2.0E-11 2.0E-11 2.0E-11 2.1E-11 2.2E-11 2.4E-11 2.6E-11
    8    6   4   7.7E-12 8.4E-12 9.1E-12 1.0E-11 1.1E-11 1.4E-11 1.8E-11 2.5E-11
    9    5   1   8.9E-13 6.6E-13 3.7E-13 2.5E-13 1.8E-13 1.2E-13 8.6E-14 6.0E-14
   10    5   2   4.4E-11 4.3E-11 4.2E-11 4.2E-11 4.3E-11 4.5E-11 4.7E-11 5.0E-11
   11    5   3   1.1E-11 1.0E-11 9.0E-12 9.1E-12 9.9E-12 1.2E-11 1.5E-11 2.0E-11
   12    5   4   1.2E-10 1.2E-10 1.2E-10 1.2E-10 1.2E-10 1.3E-10 1.4E-10 1.5E-10
   13    4   1   2.0E-11 2.0E-11 1.9E-11 1.9E-11 2.0E-11 2.0E-11 2.1E-11 2.2E-11
   14    4   2   4.2E-12 3.9E-12 3.7E-12 3.8E-12 4.1E-12 4.8E-12 5.7E-12 7.5E-12
   15    4   3   3.0E-11 3.0E-11 3.1E-11 3.3E-11 3.5E-11 3.8E-11 4.1E-11 4.4E-11
   16    9   1   1.2E-13 1.3E-13 1.5E-13 1.7E-13 2.0E-13 2.7E-13 3.4E-13 4.9E-13
   17    9   2   3.6E-12 3.7E-12 3.9E-12 4.1E-12 4.2E-12 4.5E-12 4.7E-12 5.2E-12
   18    9   3   2.8E-12 3.1E-12 3.6E-12 3.8E-12 4.1E-12 4.6E-12 5.2E-12 6.4E-12
   19    9   6   5.2E-11 5.2E-11 5.3E-11 5.6E-11 5.8E-11 6.4E-11 6.9E-11 7.9E-11
   20    9   5   5.0E-12 5.2E-12 6.0E-12 6.7E-12 7.5E-12 9.3E-12 1.1E-11 1.5E-11
   21    9   4   5.9E-12 6.0E-12 6.2E-12 6.4E-12 6.7E-12 7.2E-12 7.7E-12 8.7E-12
   22    9   7   2.2E-11 2.2E-11 2.3E-11 2.4E-11 2.5E-11 2.8E-11 3.0E-11 3.4E-11
   23    9   8   4.6E-12 5.8E-12 7.9E-12 8.8E-12 9.5E-12 1.1E-11 1.3E-11 1.8E-11
   24    7   1   7.4E-14 4.9E-14 2.5E-14 1.7E-14 1.3E-14 9.0E-15 7.2E-15 6.1E-15
   25    7   2   5.4E-12 5.4E-12 5.6E-12 6.1E-12 6.8E-12 8.5E-12 1.0E-11 1.4E-11
   26    7   3   3.0E-11 3.0E-11 3.0E-11 3.1E-11 3.2E-11 3.4E-11 3.6E-11 3.9E-11
   27    7   6   9.4E-12 8.0E-12 5.6E-12 4.7E-12 4.3E-12 4.2E-12 4.5E-12 5.4E-12
   28    7   5   3.1E-11 3.1E-11 3.2E-11 3.3E-11 3.4E-11 3.8E-11 4.1E-11 4.8E-11
   29    7   4   1.1E-11 1.1E-11 1.2E-11 1.2E-11 1.2E-11 1.2E-11 1.3E-11 1.4E-11
   30    8   1   4.2E-12 4.2E-12 4.4E-12 4.8E-12 5.3E-12 6.5E-12 7.8E-12 1.0E-11
   31    8   2   9.5E-12 9.7E-12 9.8E-12 1.0E-11 1.0E-11 1.1E-11 1.2E-11 1.2E-11
   32    8   3   1.3E-12 1.2E-12 1.1E-12 1.1E-12 1.2E-12 1.3E-12 1.6E-12 2.1E-12
   33    8   6   3.2E-11 3.3E-11 3.4E-11 3.6E-11 3.8E-11 4.1E-11 4.4E-11 4.9E-11
   34    8   5   1.1E-11 1.1E-11 1.1E-11 1.1E-11 1.2E-11 1.2E-11 1.3E-11 1.4E-11
   35    8   4   3.1E-11 3.1E-11 3.1E-11 3.2E-11 3.4E-11 3.7E-11 4.1E-11 4.8E-11
   36    8   7   7.7E-11 7.6E-11 7.4E-11 7.4E-11 7.5E-11 7.7E-11 8.1E-11 8.8E-11
   37   14   1   4.4E-14 4.6E-14 5.4E-14 6.6E-14 8.3E-14 1.3E-13 1.9E-13 3.5E-13
   38   14   2   1.7E-13 1.8E-13 2.1E-13 2.4E-13 2.9E-13 3.9E-13 5.0E-13 7.3E-13
   39   14   3   2.4E-12 2.5E-12 2.8E-12 3.0E-12 3.2E-12 3.6E-12 4.0E-12 4.6E-12
   40   14   6   8.9E-13 9.8E-13 1.2E-12 1.5E-12 1.8E-12 2.4E-12 3.1E-12 4.5E-12
   41   14   5   9.6E-13 9.8E-13 1.1E-12 1.2E-12 1.3E-12 1.6E-12 1.9E-12 2.5E-12
   42   14   4   1.7E-12 1.7E-12 1.9E-12 2.2E-12 2.5E-12 3.2E-12 4.0E-12 5.6E-12
   43   14   9   4.6E-11 4.7E-11 4.8E-11 5.1E-11 5.5E-11 6.1E-11 6.8E-11 8.0E-11
   44   14   7   5.4E-12 5.5E-12 6.0E-12 6.8E-12 7.9E-12 1.0E-11 1.3E-11 1.8E-11
   45   14   8   8.5E-12 8.5E-12 8.8E-12 9.2E-12 9.6E-12 1.0E-11 1.1E-11 1.3E-11
   46   14  11   2.3E-11 2.3E-11 2.4E-11 2.6E-11 2.8E-11 3.1E-11 3.5E-11 4.0E-11
   47   14  10   3.1E-12 3.2E-12 3.8E-12 4.6E-12 5.4E-12 7.2E-12 9.2E-12 1.4E-11
   48   14  13   2.1E-13 2.2E-13 3.0E-13 4.1E-13 5.5E-13 9.4E-13 1.5E-12 2.8E-12
   49   14  12   2.2E-13 2.3E-13 2.9E-13 3.7E-13 4.6E-13 6.8E-13 9.4E-13 1.6E-12
   50   11   1   3.0E-14 2.4E-14 1.4E-14 9.7E-15 7.4E-15 5.0E-15 3.9E-15 2.8E-15
   51   11   2   3.0E-13 2.7E-13 2.6E-13 2.7E-13 3.0E-13 3.8E-13 4.8E-13 7.0E-13
   52   11   3   6.1E-12 6.1E-12 6.6E-12 7.4E-12 8.4E-12 1.1E-11 1.3E-11 1.8E-11
   53   11   6   2.1E-11 2.1E-11 2.2E-11 2.3E-11 2.4E-11 2.7E-11 2.9E-11 3.2E-11
   54   11   5   2.5E-12 2.2E-12 1.9E-12 1.9E-12 2.0E-12 2.5E-12 3.0E-12 4.2E-12
   55   11   4   5.8E-12 5.6E-12 5.5E-12 5.7E-12 5.9E-12 6.5E-12 7.2E-12 8.7E-12
   56   11   9   8.0E-12 6.7E-12 4.2E-12 3.1E-12 2.5E-12 2.0E-12 1.9E-12 1.9E-12
   57   11   7   3.1E-11 3.1E-11 3.3E-11 3.5E-11 3.7E-11 4.2E-11 4.7E-11 5.6E-11
   58   11   8   6.4E-12 6.3E-12 5.8E-12 5.6E-12 5.6E-12 5.8E-12 6.1E-12 6.9E-12
   59   11  10   5.4E-11 5.3E-11 5.3E-11 5.3E-11 5.4E-11 5.7E-11 6.0E-11 6.7E-11
   60   10   1   2.4E-13 2.4E-13 2.5E-13 2.8E-13 3.2E-13 4.1E-13 5.1E-13 7.4E-13
   61   10   2   3.3E-12 3.4E-12 3.7E-12 4.1E-12 4.6E-12 5.7E-12 6.9E-12 9.2E-12
   62   10   3   4.8E-12 4.9E-12 5.1E-12 5.4E-12 5.7E-12 6.2E-12 6.7E-12 7.5E-12
